Agronomia,88
Anchieta,6
Aparicio Borges,39
Arquipelago,40
Auxiliadora,7
Azenha,17
Bela Vista,1
Belem Novo,27
Belem Velho,57
Boa Vista,4
Bom Fim,8
Bom Jesus,105
Camaqua,25
Campo Novo,62
Cascata,110
Cavalhada,51
Centro,99
Chacara das Pedras,4
Chapeu do Sol,10
Cidade Baixa,32
Cristal,97
Cristo Redentor,16
Espirito Santo,10
Farrapos,77
Farroupilha,11
Floresta,43
Gloria,36
Guaruja,11
Higienopolis,4
Hipica,52
Humaita,58
Independencia,2
Ipanema,16
Jardim Botanico,15
Jardim Carvalho,111
Jardim do Salso,20
Jardim Floresta,2
Jardim Isabel,0
Jardim Itu-Sabara,85
Jardim Lindoia,7
Jardim Sao Pedro,2
Lageado,12
Lami,43
Lomba do Pinheiro,235
Mario Quintana,219
Medianeira,20
Menino Deus,12
Moinhos de Vento,5
Mont Serrat,4
Morro Santana,60
Navegantes,36
Nonoai,49
Partenon,134
Passo dAreia,19
Passo das Pedras,126
Pedra Redonda,0
Petropolis,18
Ponta Grossa,20
Praia de Belas,20
Restinga,332
Rio Branco,9
Rubem Berta,544
Santa Cecilia,3
Santa Maria Goretti,5
Santana,15
Santa Tereza,260
Santo Antonio,7
Sao Geraldo,28
Sao Joao,12
Sao Jose,37
Sao Sebastiao,5
Sarandi,266
Serraria,37
Teresopolis,50
Tres Figueiras,0
Tristeza,18
Vila Assuncao,4
Vila Conceicao,2
Vila Ipiranga,21
Vila Jardim,85
Vila Joao Pessoa,13
Vila Nova,128
